Ensembl	EntrezGene
AT1G03520-TAIR-G	839471
AT1G03530-TAIR-G	839468
AT1G03540-TAIR-G	839466
AT1G03550-TAIR-G	839464
AT1G03560-TAIR-G	839458
AT1G03590-TAIR-G	839447
AT1G03600-TAIR-G	839449
AT1G03610-TAIR-G	838961
AT1G03620-TAIR-G	839448
AT1G03630-TAIR-G	839009
AT1G03650-TAIR-G	839021
AT1G03660-TAIR-G	839033
AT1G03670-TAIR-G	839438
AT1G03680-TAIR-G	839436
AT1G03687-TAIR-G	839052
AT1G03700-TAIR-G	839428
AT1G03710-TAIR-G	839427
AT1G03720-TAIR-G	839426
AT1G03730-TAIR-G	839106
AT1G03740-TAIR-G	839423
AT1G03750-TAIR-G	839417
AT1G03760-TAIR-G	839119
AT1G03770-TAIR-G	839413
AT1G03780-TAIR-G	839140
AT1G03790-TAIR-G	839408
AT1G03800-TAIR-G	839173
AT1G03810-TAIR-G	839403
AT1G03820-TAIR-G	839400
AT1G03830-TAIR-G	839398
AT1G03840-TAIR-G	839396
AT1G03850-TAIR-G	839392
AT1G03860-TAIR-G	839228
AT1G03870-TAIR-G	839384
AT1G03880-TAIR-G	839383
AT1G03890-TAIR-G	839379
AT1G03900-TAIR-G	839378
AT1G03905-TAIR-G	839376
AT1G03910-TAIR-G	839371
AT1G03920-TAIR-G	839369
AT1G03930-TAIR-G	839368
AT1G03940-TAIR-G	839366
AT1G03950-TAIR-G	839362
AT1G03960-TAIR-G	839361
AT1G03970-TAIR-G	839356
AT1G03980-TAIR-G	839354
AT1G03982-TAIR-G	3766656
AT1G03990-TAIR-G	839342
AT1G04000-TAIR-G	839339
AT1G04010-TAIR-G	839335
AT1G04020-TAIR-G	839329
AT1G04030-TAIR-G	839326
AT1G04040-TAIR-G	839325
AT1G04050-TAIR-G	839320
AT1G04070-TAIR-G	839317
AT1G04080-TAIR-G	839314
AT1G04090-TAIR-G	839298
AT1G04100-TAIR-G	839290
AT1G04110-TAIR-G	839287
AT1G04120-TAIR-G	839277
AT1G04130-TAIR-G	839276
AT1G04140-TAIR-G	839272
AT1G04150-TAIR-G	839249
AT1G04160-TAIR-G	839246
AT1G04170-TAIR-G	839238
AT1G04171-TAIR-G	6240898
AT1G04180-TAIR-G	837024
AT1G04190-TAIR-G	839442
AT1G04200-TAIR-G	839439
AT1G04210-TAIR-G	839441
AT1G04220-TAIR-G	839578
AT1G04230-TAIR-G	839575
AT1G04240-TAIR-G	839570
AT1G04250-TAIR-G	839568
AT1G04260-TAIR-G	839565
AT1G04270-TAIR-G	839564
AT1G04280-TAIR-G	839555
AT1G04290-TAIR-G	839552
AT1G04300-TAIR-G	839551
AT1G04310-TAIR-G	839549
AT1G04330-TAIR-G	839548
AT1G04340-TAIR-G	839547
AT1G04350-TAIR-G	839542
AT1G04360-TAIR-G	839540
AT1G04370-TAIR-G	839539
AT1G04380-TAIR-G	839535
AT1G04390-TAIR-G	839530
AT1G04400-TAIR-G	839529
AT1G04410-TAIR-G	839527
AT1G04420-TAIR-G	839524
AT1G04430-TAIR-G	839522
AT1G04440-TAIR-G	839520
AT1G04445-TAIR-G	839514
AT1G04450-TAIR-G	839513
AT1G04470-TAIR-G	839512
AT1G04480-TAIR-G	817900
AT1G04480-TAIR-G	819595
AT1G04480-TAIR-G	839511
AT1G04490-TAIR-G	839509
AT1G04500-TAIR-G	839510
AT1G04501-TAIR-G	6240795
AT1G04510-TAIR-G	839503
AT1G04520-TAIR-G	839502
AT1G04530-TAIR-G	839500
AT1G04540-TAIR-G	839498
AT1G04550-TAIR-G	839495
AT1G04555-TAIR-G	5007662
AT1G04560-TAIR-G	839491
AT1G04570-TAIR-G	839486
AT1G04580-TAIR-G	839488
AT1G04590-TAIR-G	839484
AT1G04600-TAIR-G	839480
AT1G04610-TAIR-G	839474
AT1G04620-TAIR-G	839472
AT1G04625-TAIR-G	3766658
AT1G04630-TAIR-G	839465
AT1G04635-TAIR-G	839460
AT1G04640-TAIR-G	839462
AT1G04645-TAIR-G	839459
AT1G04650-TAIR-G	839457
AT1G04660-TAIR-G	839454
AT1G04670-TAIR-G	839451
AT1G04680-TAIR-G	839452
AT1G04684-TAIR-G	6241413
AT1G04690-TAIR-G	839450
AT1G04700-TAIR-G	839437
AT1G04710-TAIR-G	839434
AT1G04730-TAIR-G	839431
AT1G04750-TAIR-G	839419
AT1G04760-TAIR-G	839424
AT1G04770-TAIR-G	839418
AT1G04778-TAIR-G	5007663
AT1G04780-TAIR-G	839414
AT1G04790-TAIR-G	839412
AT1G04800-TAIR-G	839406
AT1G04810-TAIR-G	839409
AT1G04820-TAIR-G	839405
AT1G04820-TAIR-G	841425
AT1G04830-TAIR-G	839404
AT1G04840-TAIR-G	839402
AT1G04850-TAIR-G	839399
AT1G04860-TAIR-G	839397
AT1G04870-TAIR-G	839393
AT1G04880-TAIR-G	839388
AT1G04890-TAIR-G	839387
AT1G04900-TAIR-G	839386
AT1G04910-TAIR-G	839373
AT1G04920-TAIR-G	839382
AT1G04930-TAIR-G	839377
AT1G04940-TAIR-G	839374
AT1G04945-TAIR-G	5007664
AT1G04950-TAIR-G	839370
AT1G04960-TAIR-G	839346
AT1G04970-TAIR-G	839357
AT1G04980-TAIR-G	839355
AT1G04985-TAIR-G	839352
AT1G04990-TAIR-G	839351
AT1G05000-TAIR-G	839348
AT1G05010-TAIR-G	839345
AT1G05020-TAIR-G	839343
AT1G05030-TAIR-G	839340
AT1G05040-TAIR-G	839338
